metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer
pc8,0.03111592279747124,0.015033436287194437,0.0160824865102768,0.01552569319400937,0.016584799829637637,0.0,8.420289647463202,100,100,11
pc9,0.001237788713769935,0.001053011640324209,0.00018477707344572596,0.00011679476399148541,0.00025938735551608454,0.0,0.709712392260677,100,100,0
pc9,0.0014153942599659278,0.0012894754385342339,0.00012591882143169397,2.5041801971376988e-05,0.0002304148348339309,0.008,0.3399374842217924,100,100,1
pc9,0.0031846843915990975,0.002360109077999315,0.0008245753135997826,0.0005922515154525116,0.0010559400508063851,0.0,1.004265901177511,100,100,2
pc9,0.005864250869490154,0.003581033003283615,0.002283217866206539,0.0018407564445515126,0.002753837496711632,0.0,1.3945750561800248,100,100,3
pc9,0.006512515489011953,0.0047685197298414535,0.0017439957591704998,0.0012253290478838606,0.0022360651681083187,0.0,0.9277599741523874,100,100,4
pc9,0.006885593177284993,0.005072088548913548,0.0018135046283714448,0.0013363738367333888,0.0022949678605655183,0.0,1.072786609450911,100,100,5
pc9,0.007544694300740907,0.006038549731019832,0.001506144569721075,0.0010964952444774089,0.0019154990558745413,0.0,1.0093886045548328,100,100,6
pc9,0.008561217784881543,0.007810125821270001,0.0007510919636115419,0.0003316784154158061,0.0011921134943840977,0.0,0.44582678023896544,100,100,7
pc9,0.010469352626241695,0.008843915676698035,0.00162543694954366,0.0011899587098741918,0.002083192020421849,0.0,0.9315325988689565,100,100,8
pc9,0.01274519228376444,0.010597917879931584,0.0021472744038328554,0.0016658578319475102,0.002651600922341453,0.0,1.146686509949957,100,100,9
pc9,0.016692733606323555,0.011624676468782076,0.005068057137541479,0.004416356541099957,0.005650951836607429,0.0,2.326583666317464,100,100,10
pc9,0.020141248181462238,0.01088632042054082,0.009254927760921417,0.00835249211871996,0.01020357208373025,0.0,2.743046721277918,100,100,11
pc10,0.0008591678616357439,0.000798603860894171,6.056400074157286e-05,2.4756186860027903e-05,9.866909515403328e-05,0.0,0.43731886480364807,100,100,0
pc10,0.0009322375454939411,0.0010524450079537442,-0.00012020746245980309,-0.00019246812150231437,-5.4314015971612876e-05,0.0,-0.48410910974070165,100,100,1
pc10,0.002108830440556577,0.002014254708774336,9.457573178224066e-05,-6.133045439491647e-05,0.0002358387977874331,0.25,0.17363784639390925,100,100,2
pc10,0.003646876958664455,0.002877854397520373,0.000769022561144082,0.0005380596897448398,0.000993233139539365,0.0,0.9525960936051703,100,100,3
pc10,0.004132873304188197,0.0039138153824023435,0.0002190579217858533,-6.830724311294179e-05,0.0005028508200775759,0.124,0.2170837797737651,100,100,4
pc10,0.004696112519595719,0.004427397998515469,0.00026871452108025076,-5.956427671481387e-05,0.0005706880720099387,0.098,0.23803110908335012,100,100,5
pc10,0.005188037245534313,0.005075197322294061,0.0001128399232402516,-0.00020528093096798818,0.00040797386638588215,0.506,0.09734262687590733,100,100,6
pc10,0.006153396861627652,0.006171193891204844,-1.7797029577191342e-05,-0.00034626541577744763,0.00031798036734108435,0.894,-0.014885558006178379,100,100,7
pc10,0.007508670655079136,0.006980695086531291,0.0005279755685478451,0.0001656213320093313,0.000908644826151443,0.004,0.37562453059255385,100,100,8
pc10,0.009410960813984232,0.00838219040073449,0.0010287704132497417,0.0005607316201785631,0.0015281261542113554,0.0,0.5814267992603681,100,100,9
pc10,0.012636162228882261,0.009284877488389562,0.0033512847404926997,0.002633657325291998,0.003999978272477167,0.0,1.3128983830182122,100,100,10
pc10,0.015776042919605923,0.00907741358969356,0.006698629329912362,0.005736134287784804,0.007610239861416623,0.0,2.038923100276037,100,100,11
k85,5.9,5.0,0.9000000000000004,0.8399999999999999,0.9500000000000002,0.0,4.221374183841088,100,100,0
k85,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,1
k85,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,2
k85,5.39,5.01,0.3799999999999999,0.28000000000000025,0.4802500000000002,0.0,1.0741515036457858,100,100,3
k85,5.96,5.62,0.33999999999999986,0.2400000000000002,0.44025000000000014,0.0,0.9139790283335695,100,100,4
k85,6.0,5.5,0.5,0.40975000000000017,0.5902499999999996,0.0,1.407124727947029,100,100,5
k85,6.0,5.54,0.45999999999999996,0.3600000000000003,0.5599999999999996,0.0,1.298717315918544,100,100,6
k85,6.0,5.93,0.07000000000000028,0.03000000000000025,0.1200000000000001,0.0,0.386046963547853,100,100,7
