layer,neuron_idx,score
1,1818,-0.7705689668655396
1,1045,0.7666765451431274
1,2869,0.7663664817810059
1,206,-0.7660470008850098
1,2397,-0.7639150619506836
1,1255,0.763770580291748
1,730,-0.7628774046897888
1,2743,-0.7617852091789246
1,44,-0.7613200545310974
1,2264,0.7612404227256775
1,1105,0.7591035962104797
1,471,-0.7587355375289917
1,1849,-0.7582497596740723
1,1871,0.7558975219726562
1,2945,-0.7555928826332092
2,1132,0.9493131041526794
2,2227,0.9274963736534119
2,116,-0.924281656742096
2,932,0.9063579440116882
2,229,0.8976513743400574
2,1254,0.8950376510620117
2,2853,0.8942445516586304
2,638,-0.8935909271240234
2,1137,0.893255352973938
2,790,0.8900668621063232
2,1857,-0.8865303993225098
2,365,0.8838438987731934
2,1289,0.8820285201072693
2,1568,0.8818666934967041
2,2185,-0.880754828453064
2,2784,-0.875933051109314
2,2008,-0.8749969005584717
2,1556,-0.8671767711639404
2,540,-0.8662081360816956
2,1019,-0.8624163866043091
2,574,-0.8622426986694336
2,2299,-0.8598860502243042
2,1546,-0.8589071035385132
2,77,0.8580326437950134
2,2535,-0.8577424883842468
2,966,0.8560552597045898
2,971,0.8553228974342346
2,2955,0.8548398613929749
2,1416,-0.8533267974853516
2,399,0.8501452803611755
2,200,0.8496813178062439
2,2330,-0.8496482372283936
2,548,0.8457282781600952
2,417,0.8454079627990723
2,1127,0.8449084758758545
2,2634,-0.8438735008239746
2,2734,-0.8428605198860168
2,1726,-0.8421126008033752
2,166,-0.8412750959396362
2,2777,-0.8411787748336792
2,159,0.8391745090484619
2,1051,-0.8368379473686218
2,667,0.8362020254135132
2,258,-0.835541844367981
2,308,0.8339048624038696
2,577,-0.8308885097503662
2,1275,0.8296677470207214
2,3065,0.8282386660575867
2,1723,-0.8249454498291016
2,1946,-0.8239222764968872
3,2878,-0.9454934000968933
3,768,0.9218237400054932
3,2207,0.9217649102210999
3,2127,-0.9211922883987427
3,2105,0.9167288541793823
3,2129,0.9077986478805542
3,1796,-0.9039342999458313
3,1817,0.8951846957206726
3,2411,0.8918529152870178
3,1419,0.8907557129859924
3,2847,0.8883797526359558
3,2310,0.8867982029914856
3,569,0.8847965598106384
3,479,0.8829428553581238
3,1723,0.8827919960021973
3,3064,0.8827213048934937
3,1956,0.8808157444000244
3,2964,-0.8802607655525208
3,1387,0.8793056607246399
3,1374,0.8792300224304199
3,9,0.8763368129730225
3,2725,0.8759263157844543
3,2594,0.8747060298919678
3,2891,-0.8730932474136353
3,1414,0.8708803057670593
3,1002,-0.8707516193389893
3,1162,-0.869851291179657
3,2943,0.8690813779830933
3,1685,-0.8647401928901672
3,1506,-0.8627702593803406
3,1917,0.8627192974090576
3,1389,0.861759603023529
3,225,-0.8615573048591614
3,2780,-0.8607332110404968
3,2579,0.8592292070388794
3,1096,-0.8577196002006531
3,329,-0.8560726642608643
3,2837,0.8527880907058716
3,357,0.8525007963180542
3,2633,-0.8523927330970764
3,781,-0.8506402373313904
3,982,0.8479840755462646
3,335,-0.8474294543266296
3,1395,-0.8465158939361572
3,46,0.8456932902336121
3,2973,0.8449787497520447
3,1985,0.8445383310317993
3,2606,-0.840915858745575
3,2993,0.8381732702255249
3,2292,-0.8373216986656189
4,1522,-0.8988475203514099
4,437,-0.8976313471794128
4,2888,-0.8939168453216553
4,2438,-0.8853031992912292
4,1996,-0.8728011250495911
4,846,-0.8700674772262573
4,2372,0.8599887490272522
4,2921,-0.8554315567016602
4,2603,-0.8546176552772522
4,3062,-0.8528239130973816
4,1412,-0.8467137813568115
4,420,0.8455687165260315
4,2972,0.8444319367408752
4,366,-0.8414655923843384
4,2894,0.8407211303710938
4,1870,0.8360968828201294
4,3034,-0.834263801574707
4,100,-0.8342446088790894
4,1104,-0.8318506479263306
4,1363,-0.8307409286499023
4,2858,0.830365777015686
4,1683,0.8265674114227295
4,2268,-0.822969377040863
4,1484,-0.822196900844574
4,20,-0.8221757411956787
