metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc6,0.06306255768984552,0.05651182718574996,0.006550730504095562,0.006079021308571103,0.006989652821794163,0.0,3.769984881365683,100,100,6,0.0
pc6,0.06140863873064514,0.04869015604257579,0.012718482688069355,0.012361168507486583,0.01308766984194517,0.0,9.335823086298504,100,100,7,0.0
pc6,0.0619564656540751,0.0458369648456573,0.0161195008084178,0.015617867274209855,0.01663372162636368,0.0,8.581825519047449,100,100,8,0.0
pc6,0.05538360513746734,0.03996991187334056,0.015413693264126775,0.01505273915175348,0.01579295230656861,0.0,11.225602360958762,100,100,9,0.0
pc6,0.047970753498375374,0.03575645018368955,0.012214303314685822,0.011594140250235798,0.012844470957759764,0.0,5.439415990001473,100,100,10,0.0
pc6,0.018896343056112486,0.024301873538643083,-0.0054055304825305975,-0.005996247960254552,-0.004870289417915045,0.0,-2.7408631450857,100,100,11,0.0
pc7,0.05467902455478901,0.03431374978274103,0.020365274772047984,0.020277343451045444,0.02045387954916804,0.0,64.99604667770276,100,100,0,0.0
pc7,0.04861382313072676,0.028309089746326163,0.0203047333844006,0.02014547261875123,0.020454395967070004,0.0,35.99860607019078,100,100,1,0.0
pc7,0.05194533988833423,0.027923357188701585,0.024021982699632648,0.023878290769644085,0.024168814464937904,0.0,43.82304643191334,100,100,2,0.0
pc7,0.05253184273838993,0.02483550162985916,0.027696341108530767,0.027505461011081943,0.02790160859422759,0.0,37.56309340900216,100,100,3,0.0
pc7,0.05408044457435603,0.02543094836175437,0.028649496212601662,0.028448730830103148,0.028846802736632524,0.0,39.874983206619085,100,100,4,0.0
pc7,0.052764278762042476,0.02657522028312082,0.026189058478921657,0.025902094849385326,0.026473625655751686,0.0,25.160519598780997,100,100,5,0.0
pc7,0.050769304335117296,0.025065383277833413,0.025703921057283884,0.0254446925953962,0.02594919065013529,0.0,29.48572203130383,100,100,6,0.0
pc7,0.053694589138030956,0.029486763048917012,0.024207826089113944,0.023515063699334846,0.024894857489038254,0.0,10.02941414195873,100,100,7,0.0
pc7,0.04470952976495023,0.02506782872602339,0.019641701038926842,0.01922463755309583,0.02010587398475037,0.0,12.140692387154466,100,100,8,0.0
pc7,0.04041090451180931,0.02732326187193389,0.013087642639875417,0.012379185134544975,0.013828515359200539,0.0,5.221816170513942,100,100,9,0.0
pc7,0.03892987217754121,0.02198477340862151,0.016945098768919697,0.015991048738360405,0.017873354582348833,0.0,4.876861672739209,100,100,10,0.0
pc7,0.014944632118567782,0.021504436321556523,-0.006559804202988741,-0.007177112090634187,-0.005946089953882617,0.0,-2.9353363093172797,100,100,11,0.0
pc8,0.022433910034596872,0.018696239013224796,0.0037376710213720757,0.003706892854999751,0.0037695188228972255,0.0,34.29983391371106,100,100,0,0.0
