layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
6,81,0.24126513302326202,0.18204796314239502,0.13771876692771912,0.108139269053936,0.09715022891759872,0.057664915919303894,0.03278621658682823,0.016744226217269897,0.01499943807721138,0.00995328277349472,7,11,20,sentence.3
7,81,0.2318481057882309,0.18089279532432556,0.12091019004583359,0.11372269690036774,0.10770131647586823,0.05575404688715935,0.031230278313159943,0.017759237438440323,0.013824505731463432,0.011595883406698704,8,12,23,sentence.3
8,81,0.24878530204296112,0.175478994846344,0.12568418681621552,0.11261560767889023,0.09660843014717102,0.04849623516201973,0.029545873403549194,0.016570977866649628,0.01407840196043253,0.01085639838129282,8,13,24,sentence.3
9,81,0.3041229546070099,0.15734967589378357,0.11021903902292252,0.10240211337804794,0.08355262130498886,0.04129398614168167,0.026126308366656303,0.019375871866941452,0.01802072301506996,0.011778736487030983,9,13,24,sentence.3
10,81,0.2639862596988678,0.15290047228336334,0.1212819442152977,0.09715574979782104,0.07642845064401627,0.055247943848371506,0.02676345221698284,0.022050373256206512,0.019637933000922203,0.0144322095438838,11,15,26,sentence.3
11,81,0.8365287780761719,0.034817665815353394,0.02522987127304077,0.020906811580061913,0.016615338623523712,0.010136372409760952,0.006097042467445135,0.0050684381276369095,0.003822075668722391,0.003696652827784419,2,4,7,sentence.3
0,81,0.24032269418239594,0.2075251340866089,0.17053695023059845,0.13154755532741547,0.10390201956033707,0.07096128910779953,0.03743560239672661,0.011127464473247528,0.007931048981845379,0.0028706276789307594,5,6,7,sentence.4
1,81,0.2783381938934326,0.19597136974334717,0.1524883210659027,0.12011902034282684,0.09022853523492813,0.06582503020763397,0.034774940460920334,0.013049543835222721,0.007551006507128477,0.005409956909716129,6,6,8,sentence.4
2,81,0.24936269223690033,0.21445704996585846,0.14471173286437988,0.11240136623382568,0.10012198984622955,0.06536641716957092,0.03450329974293709,0.012694100849330425,0.008231354877352715,0.007199640851467848,6,7,11,sentence.4
3,81,0.24082855880260468,0.21551917493343353,0.14201630651950836,0.10124322772026062,0.09955094754695892,0.06504487991333008,0.03591557592153549,0.015444781631231308,0.013228061608970165,0.008552911691367626,6,7,13,sentence.4
4,81,0.24575696885585785,0.19006800651550293,0.14101682603359222,0.10924936085939407,0.10539983958005905,0.06928589940071106,0.03585879132151604,0.01634792611002922,0.009946712292730808,0.008684160187840462,6,8,15,sentence.4
5,81,0.24217894673347473,0.18304337561130524,0.15601670742034912,0.10732276737689972,0.09919651597738266,0.06224953755736351,0.030637754127383232,0.0169537253677845,0.01291122566908598,0.010023573413491249,6,9,16,sentence.4
6,81,0.2456328570842743,0.18203812837600708,0.1422746479511261,0.10888054966926575,0.0970497876405716,0.06020205467939377,0.033193737268447876,0.0166587233543396,0.01495008822530508,0.009765133261680603,7,9,18,sentence.4
7,81,0.23784002661705017,0.18226636946201324,0.1258179247379303,0.11579195410013199,0.10662256181240082,0.05729184299707413,0.031523581594228745,0.016670433804392815,0.012938469648361206,0.011810257099568844,7,11,21,sentence.4
8,81,0.26238828897476196,0.1788017302751541,0.12511345744132996,0.11296089738607407,0.09661176055669785,0.04947294294834137,0.029695384204387665,0.01518549770116806,0.013943654485046864,0.010657832026481628,7,11,21,sentence.4
9,81,0.32209041714668274,0.1614818274974823,0.11325167119503021,0.10079006850719452,0.08339203149080276,0.04052701219916344,0.025574950501322746,0.0183924101293087,0.014909761026501656,0.011014590971171856,8,11,21,sentence.4
10,81,0.2836034297943115,0.1585547775030136,0.12154559046030045,0.10057957470417023,0.07971706986427307,0.053331416100263596,0.02651503123342991,0.018025454133749008,0.01660590060055256,0.013746525160968304,9,13,24,sentence.4
11,81,0.8518230319023132,0.033427562564611435,0.023697752505540848,0.019743822515010834,0.016259457916021347,0.009513921104371548,0.005888139363378286,0.0038056555204093456,0.003107750089839101,0.002982537494972348,1,3,6,sentence.4
0,81,0.23981936275959015,0.20802678167819977,0.17071954905986786,0.1320340931415558,0.10398077219724655,0.0711669772863388,0.037206877022981644,0.01104242354631424,0.007219693157821894,0.0029713616240769625,5,6,7,sentence.5
1,81,0.280204713344574,0.19461184740066528,0.1517602950334549,0.12021511793136597,0.09011298418045044,0.06576921045780182,0.034289319068193436,0.01299462839961052,0.00712681794539094,0.005328381899744272,6,6,9,sentence.5
2,81,0.2502764165401459,0.2121276706457138,0.1437734067440033,0.11242048442363739,0.10013749450445175,0.06513228267431259,0.03406507521867752,0.012596819549798965,0.007828589528799057,0.006881713401526213,6,7,11,sentence.5
3,81,0.23645000159740448,0.21387581527233124,0.1412472277879715,0.10201219469308853,0.09941694885492325,0.06470832973718643,0.03529148921370506,0.015333235263824463,0.012447318993508816,0.009241440333425999,6,8,14,sentence.5
4,81,0.24195881187915802,0.18922623991966248,0.1408531367778778,0.10987693816423416,0.10401313751935959,0.0685565248131752,0.034984007477760315,0.01623135805130005,0.009550296701490879,0.008226674050092697,6,8,16,sentence.5
