,layer,level_from,level_to,G,left_out
329,0,6,7,0.9875462551911672,sentence.3
330,0,7,8,0.9894142846266428,sentence.3
331,0,8,9,0.9873734878169166,sentence.3
332,0,9,10,0.9874842564264933,sentence.3
333,1,1,2,0.9854587796661589,sentence.3
334,1,2,3,0.9885145723819733,sentence.3
335,1,3,4,0.9887168241871728,sentence.3
336,1,4,5,0.988789310057958,sentence.3
337,1,5,6,0.986494168639183,sentence.3
338,1,6,7,0.9850231177277036,sentence.3
339,1,7,8,0.9883983847167757,sentence.3
340,1,8,9,0.9838658852709664,sentence.3
341,1,9,10,0.9841130326191584,sentence.3
342,2,1,2,0.9641040530469682,sentence.3
343,2,2,3,0.9726787275738187,sentence.3
344,2,3,4,0.9738655140002569,sentence.3
345,2,4,5,0.9805606404940287,sentence.3
346,2,5,6,0.973564949300554,sentence.3
347,2,6,7,0.9713307420412699,sentence.3
348,2,7,8,0.9747058931324217,sentence.3
349,2,8,9,0.9626115295622084,sentence.3
350,2,9,10,0.9700177841716342,sentence.3
351,3,1,2,0.9314830601215363,sentence.3
352,3,2,3,0.960616452826394,sentence.3
353,3,3,4,0.9551806797583898,sentence.3
354,3,4,5,0.9653754946258333,sentence.3
355,3,5,6,0.9509081492821375,sentence.3
356,3,6,7,0.9547840108474096,sentence.3
357,3,7,8,0.9572891543308893,sentence.3
358,3,8,9,0.9470086064603593,sentence.3
359,3,9,10,0.9556150502628751,sentence.3
360,4,1,2,0.9126596020327674,sentence.3
361,4,2,3,0.9514769564072291,sentence.3
362,4,3,4,0.9425106959210502,sentence.3
363,4,4,5,0.9576938566234376,sentence.3
364,4,5,6,0.9397693392303255,sentence.3
365,4,6,7,0.9456393851174248,sentence.3
366,4,7,8,0.9437346657117208,sentence.3
367,4,8,9,0.9369587169753181,sentence.3
368,4,9,10,0.9438175757726034,sentence.3
369,5,1,2,0.9001331412129931,sentence.3
370,5,2,3,0.945511649052302,sentence.3
371,5,3,4,0.9336454123258591,sentence.3
372,5,4,5,0.9505947116348479,sentence.3
373,5,5,6,0.929714580376943,sentence.3
374,5,6,7,0.9351407902108299,sentence.3
375,5,7,8,0.9299018830060959,sentence.3
376,5,8,9,0.9215422123670578,sentence.3
377,5,9,10,0.9308842072884241,sentence.3
378,6,1,2,0.8928092900249693,sentence.3
379,6,2,3,0.9329809546470642,sentence.3
380,6,3,4,0.9341042704052396,sentence.3
381,6,4,5,0.9422810590929456,sentence.3
382,6,5,6,0.9151883903476927,sentence.3
383,6,6,7,0.9264710545539856,sentence.3
384,6,7,8,0.9201348721981049,sentence.3
385,6,8,9,0.914789585603608,sentence.3
386,6,9,10,0.9235273384385638,sentence.3
387,7,1,2,0.8798003163602617,sentence.3
388,7,2,3,0.9174088935057322,sentence.3
389,7,3,4,0.9193116277456284,sentence.3
390,7,4,5,0.9300610605213377,sentence.3
391,7,5,6,0.9060866352584627,sentence.3
392,7,6,7,0.915434170100424,sentence.3
393,7,7,8,0.9113503164715238,sentence.3
394,7,8,9,0.8979305509063933,sentence.3
395,7,9,10,0.9130426761176851,sentence.3
396,8,1,2,0.8683809753921297,sentence.3
397,8,2,3,0.9000947111182742,sentence.3
398,8,3,4,0.9066900809605917,sentence.3
399,8,4,5,0.9116502404212952,sentence.3
400,8,5,6,0.8906302882565392,sentence.3
401,8,6,7,0.8983040071196027,sentence.3
402,8,7,8,0.8924538907077577,sentence.3
403,8,8,9,0.881897411412663,sentence.3
404,8,9,10,0.8998197582032945,sentence.3
405,9,1,2,0.8450012107690176,sentence.3
406,9,2,3,0.8769960585567687,sentence.3
407,9,3,4,0.8921948158078723,sentence.3
408,9,4,5,0.895427382654614,sentence.3
409,9,5,6,0.8737027694781622,sentence.3
410,9,6,7,0.8834315339724222,sentence.3
411,9,7,8,0.8741536206669278,sentence.3
412,9,8,9,0.8648107945919037,sentence.3
413,9,9,10,0.8835228665007485,sentence.3
414,10,1,2,0.8224390695492426,sentence.3
415,10,2,3,0.8422104467948278,sentence.3
416,10,3,4,0.8692869577142928,sentence.3
417,10,4,5,0.8732473999261856,sentence.3
418,10,5,6,0.8502571963601642,sentence.3
419,10,6,7,0.8598898003498713,sentence.3
420,10,7,8,0.8437557932403352,sentence.3
421,10,8,9,0.839572442902459,sentence.3
422,10,9,10,0.854651477601793,sentence.3
423,11,1,2,0.7949996706512239,sentence.3
424,11,2,3,0.8033845441208946,sentence.3
425,11,3,4,0.8367528021335602,sentence.3
426,11,4,5,0.8333259142107434,sentence.3
427,11,5,6,0.8226131217347251,sentence.3
428,11,6,7,0.8483836766746309,sentence.3
429,11,7,8,0.7705682582325406,sentence.3
430,11,8,9,0.8085449967119429,sentence.3
431,11,9,10,0.7954166216982735,sentence.3
432,0,1,2,0.9877271602551142,sentence.4
433,0,2,3,0.9896095361974504,sentence.4
434,0,3,4,0.990645620557997,sentence.4
435,0,4,5,0.9900748365455203,sentence.4
436,0,5,6,0.9871890015072293,sentence.4
437,0,6,7,0.9881031546327803,sentence.4
438,0,7,8,0.9902132203181585,sentence.4
439,0,8,9,0.9885232432021035,sentence.4
440,0,9,10,0.9885888281795714,sentence.4
441,1,1,2,0.9864145434565015,sentence.4
442,1,2,3,0.9894040591186948,sentence.4
443,1,3,4,0.9895589583449893,sentence.4
444,1,4,5,0.9897066917684343,sentence.4
445,1,5,6,0.9874223619699478,sentence.4
446,1,6,7,0.9858926253186332,sentence.4
447,1,7,8,0.9889741539955139,sentence.4
448,1,8,9,0.9853478537665473,sentence.4
449,1,9,10,0.9854707800679736,sentence.4
450,2,1,2,0.9652659462557899,sentence.4
451,2,2,3,0.9738684892654419,sentence.4
452,2,3,4,0.9752499196264479,sentence.4
453,2,4,5,0.9816475080119239,sentence.4
454,2,5,6,0.9749747034576204,sentence.4
455,2,6,7,0.9732011159261068,sentence.4
456,2,7,8,0.9764248496956296,sentence.4
457,2,8,9,0.966204403175248,sentence.4
458,2,9,10,0.9724599123001099,sentence.4
459,3,1,2,0.9317722154988183,sentence.4
460,3,2,3,0.9618134978744719,sentence.4
461,3,3,4,0.9565147956212362,sentence.4
462,3,4,5,0.9652439951896667,sentence.4
463,3,5,6,0.9520167294475768,sentence.4
464,3,6,7,0.9566087656550937,sentence.4
465,3,7,8,0.9587785849968592,sentence.4
466,3,8,9,0.9499391201469634,sentence.4
467,3,9,10,0.9571813527080748,sentence.4
468,4,1,2,0.9120376971032884,sentence.4
469,4,2,3,0.9512687507602904,sentence.4
470,4,3,4,0.942615646455023,sentence.4
471,4,4,5,0.9572933829492993,sentence.4
472,4,5,6,0.9410089635186725,sentence.4
473,4,6,7,0.946876080499755,sentence.4
474,4,7,8,0.945376992225647,sentence.4
475,4,8,9,0.9406975209712982,sentence.4
476,4,9,10,0.9449166042937173,sentence.4
477,5,1,2,0.9002816379070282,sentence.4
478,5,2,3,0.9452370603879293,sentence.4
479,5,3,4,0.9343561132748922,sentence.4
480,5,4,5,0.9507940610249838,sentence.4
481,5,5,6,0.9317278034157224,sentence.4
482,5,6,7,0.9380962120162116,sentence.4
483,5,7,8,0.9323785205682119,sentence.4
484,5,8,9,0.9255279699961344,sentence.4
485,5,9,10,0.9321659621265199,sentence.4
486,6,1,2,0.8912129054466883,sentence.4
487,6,2,3,0.9317561901277966,sentence.4
