layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
8,90,0.26760950684547424,0.19999267160892487,0.17062664031982422,0.10680805146694183,0.08587370812892914,0.056180134415626526,0.025186829268932343,0.014591247774660587,0.01041064877063036,0.006745598744601011,5,6,7,12,28,5
9,90,0.2814933955669403,0.18712085485458374,0.16102644801139832,0.09926747530698776,0.08779775351285934,0.05486372485756874,0.02564803883433342,0.01641608215868473,0.011070223525166512,0.008307041600346565,5,6,8,13,30,5
10,90,0.33140116930007935,0.16308434307575226,0.15022437274456024,0.09288547933101654,0.07662531733512878,0.05017878860235214,0.022925015538930893,0.018332166597247124,0.01178684365004301,0.009294402785599232,5,6,8,14,30,5
11,90,0.40870001912117004,0.1361687332391739,0.1244029849767685,0.07506491243839264,0.06535191088914871,0.043747253715991974,0.0321488194167614,0.01618269458413124,0.012966366484761238,0.011024494655430317,5,6,8,14,30,5
0,90,0.26527202129364014,0.21678434312343597,0.18998344242572784,0.1205623671412468,0.09014798700809479,0.05994853749871254,0.03015833906829357,0.019448567181825638,0.0009637127513997257,0.0007130848825909197,5,5,6,7,8,6
1,90,0.25578343868255615,0.2212979942560196,0.19142869114875793,0.12270946055650711,0.09007183462381363,0.05880894511938095,0.03189132362604141,0.019111867994070053,0.0010082126827910542,0.0008638747967779636,5,5,6,7,8,6
2,90,0.25864505767822266,0.22547012567520142,0.18246039748191833,0.11527619510889053,0.09030842036008835,0.061508938670158386,0.03163903206586838,0.018611488863825798,0.0017714635469019413,0.0016512031434103847,5,5,6,7,13,6
3,90,0.2570475935935974,0.21762481331825256,0.17689749598503113,0.11736398935317993,0.091995470225811,0.0664372369647026,0.030995354056358337,0.01833934895694256,0.00284733809530735,0.0022265759762376547,5,5,6,7,16,6
4,90,0.2685497999191284,0.22225980460643768,0.16471967101097107,0.11184617131948471,0.08625314384698868,0.06541737914085388,0.031924840062856674,0.01742717996239662,0.003641280811280012,0.002800925401970744,5,5,6,7,20,6
5,90,0.26845550537109375,0.22901076078414917,0.16233183443546295,0.10916540026664734,0.08768274635076523,0.06393810361623764,0.02788999117910862,0.016868213191628456,0.004155861213803291,0.0031112942378968,5,5,6,8,21,6
6,90,0.27269530296325684,0.2291036993265152,0.16353312134742737,0.10429417341947556,0.08686722815036774,0.06154777854681015,0.02508847787976265,0.015522990375757217,0.004907029680907726,0.003813401563093066,5,5,6,8,23,6
7,90,0.2703283429145813,0.212824285030365,0.17083829641342163,0.10842834413051605,0.0847581997513771,0.06081904098391533,0.025640416890382767,0.014889011159539223,0.005774622317403555,0.005284852813929319,5,6,6,9,25,6
8,90,0.27248409390449524,0.20843271911144257,0.17209367454051971,0.10467041283845901,0.08547332882881165,0.05786452069878578,0.024542655795812607,0.013973023742437363,0.007165322545915842,0.0058023990131914616,5,6,6,10,27,6
9,90,0.284745454788208,0.20056915283203125,0.16487352550029755,0.09680323302745819,0.08606237918138504,0.0568644218146801,0.024806726723909378,0.013481450267136097,0.009381505660712719,0.007235824130475521,5,6,7,11,28,6
10,90,0.33477088809013367,0.17318394780158997,0.15636417269706726,0.09371700137853622,0.07330916076898575,0.05207681655883789,0.021023370325565338,0.013365297578275204,0.012148053385317326,0.00794107187539339,5,6,7,13,29,6
11,90,0.4310466945171356,0.14439727365970612,0.1272248923778534,0.07084066420793533,0.0627555102109909,0.04334685206413269,0.02719590812921524,0.013681200332939625,0.00993555597960949,0.007974155247211456,5,6,7,12,29,6
0,90,0.2659010887145996,0.2171270102262497,0.19052276015281677,0.1197027862071991,0.09049972891807556,0.05953415855765343,0.030302099883556366,0.01943763718008995,0.0009719497757032514,0.0005704568466171622,5,5,6,7,8,7
1,90,0.25760751962661743,0.22204749286174774,0.19091860949993134,0.12226532399654388,0.09012151509523392,0.05856798216700554,0.031829770654439926,0.01905040256679058,0.0009565858053974807,0.0007037280593067408,5,5,6,7,8,7
2,90,0.260101854801178,0.22658634185791016,0.18327884376049042,0.11490847915410995,0.09105551242828369,0.0613136813044548,0.031734250485897064,0.018529489636421204,0.0016039906768128276,0.001207232242450118,5,5,6,7,10,7
3,90,0.25765857100486755,0.218933567404747,0.17949225008487701,0.11711729317903519,0.09226298332214355,0.06567131727933884,0.031440261751413345,0.018425341695547104,0.002443681936711073,0.0017108768224716187,5,5,6,7,15,7
4,90,0.2691268026828766,0.2210584580898285,0.1675713062286377,0.11364996433258057,0.08715520799160004,0.06440553069114685,0.03212502971291542,0.017410768195986748,0.0030936002731323242,0.0027151107788085938,5,5,6,7,19,7
5,90,0.2684212327003479,0.22760362923145294,0.16336765885353088,0.11265172809362411,0.08783143013715744,0.06303536146879196,0.028022605925798416,0.017171116545796394,0.003683569608256221,0.0034545762464404106,5,5,6,7,21,7
6,90,0.2705470323562622,0.2237364947795868,0.1666208654642105,0.10972646623849869,0.08673149347305298,0.06007354333996773,0.02558947168290615,0.015789026394486427,0.0058396183885633945,0.004229230806231499,5,5,6,8,23,7
7,90,0.2689332365989685,0.20815511047840118,0.17104163765907288,0.11322154104709625,0.08359339833259583,0.05959448590874672,0.026411373168230057,0.015279676765203476,0.009364419616758823,0.005048845428973436,5,6,6,9,26,7
8,90,0.2729033827781677,0.19924180209636688,0.17120839655399323,0.11013026535511017,0.084348164498806,0.05663039907813072,0.025653159245848656,0.01532007660716772,0.011589543893933296,0.005937801208347082,5,6,7,10,28,7
9,90,0.28597500920295715,0.18999560177326202,0.16042618453502655,0.10300386697053909,0.08477381616830826,0.055706560611724854,0.0264605600386858,0.018233144655823708,0.011878362856805325,0.0074026635847985744,5,6,7,11,30,7
10,90,0.33052173256874084,0.1658303588628769,0.15025392174720764,0.09802388399839401,0.0745081901550293,0.05236632749438286,0.024846598505973816,0.01964115910232067,0.012030623853206635,0.009070554748177528,5,6,8,12,30,7
11,90,0.4059934914112091,0.13774676620960236,0.12966468930244446,0.07808716595172882,0.0652826726436615,0.04453286901116371,0.03065226413309574,0.018583260476589203,0.013004548847675323,0.01175900362432003,5,6,8,12,30,7
