metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer
pc5,0.06566148880869145,0.07540199391543861,-0.009740505106747163,-0.010396624459885056,-0.009139506165869537,0.0,-4.182403190557339,100,100,10
pc5,0.06134113807231183,0.06652616538107392,-0.005185027308762094,-0.006087227944284695,-0.00423132033459844,0.0,-1.575902544491778,100,100,11
pc6,0.06793647967278954,0.059880270734429315,0.008056208938360225,0.00797153195179999,0.008139574646018461,0.0,26.766863194454107,100,100,0
pc6,0.057209515310823876,0.05879367057234045,-0.001584155261516576,-0.001669438560493289,-0.001491541462950406,0.0,-5.255214708814058,100,100,1
pc6,0.051146235764026604,0.061714228540658896,-0.010567992776632291,-0.010700745875947154,-0.010432132728397837,0.0,-21.526025472469673,100,100,2
pc6,0.05146536197513338,0.06611292004585262,-0.014647558070719241,-0.014808302610181274,-0.014480381078086796,0.0,-23.994557127775543,100,100,3
pc6,0.05236543875187631,0.06523503683507438,-0.01286959808319807,-0.013014533026143913,-0.01272381799202413,0.0,-24.340239178232398,100,100,4
pc6,0.05176989343017336,0.06309773042798039,-0.011327836997807032,-0.011514997411519283,-0.011151312673464413,0.0,-17.118605176955054,100,100,5
pc6,0.0493149726837873,0.06016445487737651,-0.010849482193589208,-0.011041237786412238,-0.010659628771245482,0.0,-16.062086721824528,100,100,6
pc6,0.04897374138236042,0.05938118159770962,-0.0104074402153492,-0.01061304902657867,-0.010189024011604505,0.0,-13.106200443294012,100,100,7
pc6,0.054923828095197635,0.05628657527267929,-0.0013627471774816519,-0.001658472453244034,-0.0010772994495928333,0.0,-1.3007068688556738,100,100,8
pc6,0.05545233540236945,0.054972297996282525,0.00048003740608692363,9.969083592294443e-05,0.0008869066201150442,0.014,0.31432142652723566,100,100,9
pc6,0.051933126077055886,0.04907732423394915,0.0028558018431067353,0.0022045208122581056,0.0034756330875679877,0.0,1.213502201639766,100,100,10
pc6,0.04438283748924729,0.04170926932245488,0.0026735681667924074,0.0018450781414285286,0.00353297837637364,0.0,0.9129001560910391,100,100,11
pc7,0.040556193403899626,0.030274981725960916,0.01028121167793871,0.010235197038389736,0.010325088312849399,0.0,63.69690625612783,100,100,0
pc7,0.036199424825608686,0.03182000819593664,0.004379416629672048,0.004304012210108353,0.004463320105802276,0.0,14.928201214593672,100,100,1
pc7,0.033567125052213626,0.031548103168606706,0.0020190218836069196,0.0019283753600902941,0.0021087102447636466,0.0,6.209979180748646,100,100,2
pc7,0.033265143930911976,0.031063296105712603,0.002201847825199374,0.0020888589601963806,0.002306608146522197,0.0,5.39863087649713,100,100,3
pc7,0.0343997004628181,0.031691588759422254,0.0027081117033958477,0.0025693035959266216,0.002854587557725614,0.0,5.370750056430792,100,100,4
pc7,0.03779759675264354,0.027700535040348716,0.010097061712294825,0.009915657505393027,0.010257708995603021,0.0,15.376018196058327,100,100,5
pc7,0.0393102995678782,0.025118428505957083,0.01419187106192112,0.01398108427785338,0.014389449526090177,0.0,19.176156856674012,100,100,6
pc7,0.038847142867743926,0.02592059837654229,0.012926544491201637,0.012719975852407498,0.01312172214593738,0.0,18.260148156839758,100,100,7
pc7,0.03971220754086967,0.02501098202541466,0.014701225515455007,0.014528534063138074,0.014874261896591636,0.0,22.194499767426244,100,100,8
