metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer,level_from,level_to
G,0.9169114932432061,0.9464294374078983,-0.029517944164692222,-0.03226100007694169,-0.02655609653724559,0.0,-2.891107676416264,100,100,4,1,2
G,0.9538624209208147,0.9527749714903415,0.0010874494304732307,-0.00045341983839634057,0.0025143075229983295,0.178,0.19488137222572013,100,100,4,2,3
G,0.9462198626569339,0.9549545095075689,-0.008734646850634964,-0.011442090843748098,-0.006197516766935524,0.0,-0.9618680002595146,100,100,4,3,4
G,0.9590808096428713,0.9597123496083039,-0.000631539965432526,-0.002134815453868047,0.0008152850851891017,0.382,-0.12188439255917413,100,100,4,4,5
G,0.9426381994017535,0.9547804972680787,-0.012142297866325147,-0.013673606659235277,-0.010646897194676538,0.0,-2.0747514520677828,100,100,4,5,6
G,0.9489842399689884,0.9524402281802797,-0.0034559882112913387,-0.005031670030076272,-0.0018434383270170274,0.0,-0.5906550844598842,100,100,4,6,7
G,0.9477998518716721,0.9525843559304873,-0.004784504058815142,-0.006476522186682146,-0.003181546546353357,0.0,-0.7980056704585919,100,100,4,7,8
G,0.9405247886109919,0.9594737084583632,-0.01894891984737135,-0.02055672136715476,-0.017384671037892284,0.0,-3.227935237556418,100,100,4,8,9
G,0.9461291317542394,0.9422186492421324,0.003910482512107016,0.0015608109073507153,0.006173805060225831,0.002,0.49361849940759017,100,100,4,9,10
G,0.905173907519333,0.935143540433948,-0.029969632914614963,-0.03315082060902834,-0.026803482011185334,0.0,-2.6303795253746824,100,100,5,1,2
G,0.9479494503575658,0.942760005244187,0.005189445113378821,0.003056929015723109,0.007254470845134411,0.0,0.6758275972122274,100,100,5,2,3
G,0.9374686400100352,0.9473858058201889,-0.009917165810153783,-0.012595324069107535,-0.007285916340102838,0.0,-1.052207773992,100,100,5,3,4
G,0.952078204314387,0.9508295042363425,0.0012487000780445623,-0.00046063936900276876,0.002852645764724683,0.128,0.21138290726688921,100,100,5,4,5
G,0.9330600073715999,0.9502372933205158,-0.017177285948915877,-0.01901785255380819,-0.01533556270938778,0.0,-2.6124869026781963,100,100,5,5,6
G,0.9396803402337764,0.9495254811829045,-0.009845140949128028,-0.011775664120439658,-0.007873674409091253,0.0,-1.429942395534247,100,100,5,6,7
G,0.9343317879031572,0.9453032165164985,-0.010971428613341327,-0.012841965191468265,-0.00896664925299244,0.0,-1.5857176197358687,100,100,5,7,8
G,0.9249581504558758,0.9538566102096959,-0.028898459753820105,-0.030765871512464075,-0.02694875145200958,0.0,-4.160853313608302,100,100,5,8,9
G,0.9330762570968695,0.9396090197085388,-0.006532762611669352,-0.008781086977807948,-0.004185165987920551,0.0,-0.797851389114669,100,100,5,9,10
G,0.8964240795255652,0.9228777259422672,-0.026453646416702004,-0.029423406443532116,-0.023302489990681883,0.0,-2.2665464610091415,100,100,6,1,2
G,0.9349664564733469,0.9290828001281569,0.005883656345189947,0.0035596457643524704,0.008119772319105725,0.0,0.6839559973781556,100,100,6,2,3
G,0.9365378238913559,0.9379000187473637,-0.001362194856007859,-0.0036648495887245613,0.001088105038198739,0.292,-0.15711033510975195,100,100,6,3,4
G,0.9432747186994743,0.9413157125252579,0.0019590061742164044,0.00010085922083462044,0.003655683829458195,0.044,0.31442834907073813,100,100,6,4,5
G,0.9186080729152473,0.940823782881574,-0.022215709966326713,-0.02427853386000031,-0.02039731929903002,0.0,-3.066724308830392,100,100,6,5,6
G,0.9305630264972884,0.9440515606166824,-0.013488534119393991,-0.015552006304063037,-0.011524337346780785,0.0,-1.8076880705333438,100,100,6,6,7
G,0.9242284775087758,0.9388208496660466,-0.014592372157270828,-0.016808255016094096,-0.012403368760196078,0.0,-1.8735834388131092,100,100,6,7,8
G,0.9170656223434306,0.944115523142947,-0.027049900799516413,-0.02909565745237316,-0.02512954886482342,0.0,-3.7245096972320004,100,100,6,8,9
G,0.9241822427435529,0.9288767368093369,-0.004694494065784038,-0.007123028063087897,-0.0024138404328196586,0.0,-0.550041173669214,100,100,6,9,10
G,0.8819896053482615,0.9068680131794913,-0.024878407831229743,-0.02875689145630563,-0.021167238445508985,0.0,-1.7954799957589915,100,100,7,1,2
G,0.915588663635746,0.9164268294979655,-0.0008381658622195198,-0.0035085834050935017,0.0017236767251578155,0.538,-0.08698130443837272,100,100,7,2,3
G,0.9199815029237005,0.9231842508562026,-0.0032027479325020813,-0.005977584581230985,-0.0005935031908252236,0.02,-0.3144959295466851,100,100,7,3,4
G,0.92829766632924,0.9231158371922514,0.005181829136988614,0.0029834788730339653,0.007178052413652721,0.0,0.6568170792482619,100,100,7,4,5
G,0.9071258483699391,0.9236879707797179,-0.016562122409778723,-0.018626514424348227,-0.014521304075573343,0.0,-2.1338076502424714,100,100,7,5,6
G,0.9185439715276634,0.9268508473048134,-0.008306875777149947,-0.01060995375185266,-0.005925109396188952,0.0,-0.9543972541383882,100,100,7,6,7
G,0.9147719827128781,0.9301401025633964,-0.015368119850518336,-0.01746314303367614,-0.01304710767622744,0.0,-1.906254133681374,100,100,7,7,8
G,0.8996607207003093,0.9330509250462056,-0.033390204345896235,-0.03556920162425189,-0.030837562188175037,0.0,-3.8135577951683985,100,100,7,8,9
G,0.9134291506603596,0.9149881530195948,-0.0015590023592352287,-0.004366492201991296,0.0011424420635496974,0.246,-0.1647545176495772,100,100,7,9,10
G,0.8664831722132743,0.8860840882786682,-0.019600916065393936,-0.024126674119524783,-0.01473581320382065,0.0,-1.2122774769223188,100,100,8,1,2
G,0.8938207596483685,0.900496304493575,-0.006675544845206494,-0.009872321900133924,-0.0037784016582343596,0.0,-0.601556197065364,100,100,8,2,3
G,0.9051941704012099,0.909464091675149,-0.0042699212739391035,-0.007162686221526107,-0.0008607177713562262,0.014,-0.37436699490847136,100,100,8,3,4
G,0.9059597022031981,0.9081645860572656,-0.0022048838540674742,-0.0051113690965826465,0.0008460875180150289,0.13,-0.21242217605842295,100,100,8,4,5
G,0.8898740816622502,0.9007856349604471,-0.010911553298196819,-0.013449082288820063,-0.008577468520793108,0.0,-1.2135601992314489,100,100,8,5,6
G,0.8993399985896215,0.9092511003400598,-0.0099111017504383,-0.012672629258533427,-0.0071670156891147085,0.0,-0.9982411313222405,100,100,8,6,7
G,0.8941728398681634,0.9280928027847459,-0.0339199629165825,-0.036279948462912597,-0.031428402869793516,0.0,-3.923063429496777,100,100,8,7,8
G,0.8809278749270097,0.925025367822912,-0.04409749289590226,-0.04658723726082177,-0.04147828586183151,0.0,-4.796590650257799,100,100,8,8,9
G,0.8969372790867374,0.9046889124711354,-0.007751633384397993,-0.010731965931635034,-0.004834603268960586,0.0,-0.704498217988041,100,100,8,9,10
G,0.8360400047467816,0.8686233682916279,-0.032583363544846256,-0.03797050772762279,-0.02694550654325199,0.0,-1.6528815329722284,100,100,9,1,2
G,0.8657526970756431,0.8760562888166262,-0.010303591740983165,-0.0140106352124777,-0.00687592404950704,0.0,-0.7679850284558701,100,100,9,2,3
G,0.888538084699521,0.8860710045780454,0.002467080121475562,-0.0013348879762700354,0.0061876450626740355,0.212,0.18515617473494983,100,100,9,3,4
G,0.8859918983469878,0.8870641759775932,-0.001072277630605467,-0.004384059969477794,0.002302353284496024,0.56,-0.08582929611148263,100,100,9,4,5
G,0.8703961074919928,0.8747846305838654,-0.004388523091872543,-0.007332948221538296,-0.0013793583755572437,0.0,-0.3977531808423629,100,100,9,5,6
G,0.8822141370413794,0.8846805615373072,-0.0024664244959278214,-0.005897262027197797,0.0008418927162416495,0.178,-0.19999879532714276,100,100,9,6,7
G,0.8742139024356055,0.9137781910134689,-0.03956428857786343,-0.04215434061495786,-0.03700912513294142,0.0,-4.313068487089295,100,100,9,7,8
G,0.86192553126197,0.9199804463395996,-0.05805491507762961,-0.06104484986172047,-0.055040039229724086,0.0,-5.391321609332267,100,100,9,8,9
G,0.8769572844926327,0.8873004821344973,-0.010343197641864643,-0.014374917353784603,-0.006398101229279791,0.0,-0.7145191621856041,100,100,9,9,10
G,0.8046027108662658,0.842715856904075,-0.03811314603780924,-0.04435818927356648,-0.03173674678596739,0.0,-1.5598466021644268,100,100,10,1,2
