layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
0,90,0.3191344439983368,0.1877729445695877,0.1407785564661026,0.11919344216585159,0.0816948190331459,0.06822455674409866,0.0408392995595932,0.033931929618120193,0.0010286857141181827,0.0009478645515628159,5,6,6,7,8,9
1,90,0.3602566719055176,0.18386836349964142,0.1304805725812912,0.11891345679759979,0.07258290797472,0.05749153345823288,0.03659222275018692,0.030321944504976273,0.0013292554067447782,0.0009242166997864842,5,5,6,7,8,9
2,90,0.37050744891166687,0.18759016692638397,0.12727096676826477,0.11251814663410187,0.06358645111322403,0.05124974995851517,0.033644191920757294,0.031148744747042656,0.004092856775969267,0.002785283140838146,5,5,6,8,15,9
3,90,0.3446129262447357,0.1983884871006012,0.12576338648796082,0.11159167438745499,0.06316565722227097,0.05161626264452934,0.03310886770486832,0.030639532953500748,0.008927502669394016,0.0046505131758749485,5,6,7,8,20,9
4,90,0.3264160752296448,0.20054292678833008,0.1271253079175949,0.11528106033802032,0.062044717371463776,0.05213019624352455,0.03401898965239525,0.0315694585442543,0.009735457599163055,0.0051563577726483345,5,6,7,9,24,9
5,90,0.31881383061408997,0.2038774937391281,0.12489863485097885,0.11484052985906601,0.06255669891834259,0.05125463381409645,0.037198156118392944,0.029124142602086067,0.009479218162596226,0.00594532024115324,5,6,7,9,25,9
6,90,0.3198329508304596,0.20373371243476868,0.12347053736448288,0.11113501340150833,0.0630166083574295,0.04878808185458183,0.03864031657576561,0.02808709815144539,0.00890083983540535,0.00633627362549305,5,6,7,10,27,9
7,90,0.29815348982810974,0.2114308923482895,0.12950007617473602,0.10769762098789215,0.06275573372840881,0.048507608473300934,0.038124192506074905,0.026644358411431313,0.009768875315785408,0.007379676215350628,5,6,8,12,29,9
8,90,0.2721559703350067,0.21757462620735168,0.12624633312225342,0.10858102887868881,0.06289361417293549,0.05368150770664215,0.03899182006716728,0.02574538066983223,0.011067135259509087,0.008383282460272312,6,7,8,14,31,9
9,90,0.2703274190425873,0.2150186002254486,0.12434659898281097,0.10315152257680893,0.06143827736377716,0.05277670919895172,0.03825078532099724,0.02413315512239933,0.013199308887124062,0.010838585905730724,6,7,9,16,33,9
10,90,0.2693536579608917,0.201410174369812,0.12170614302158356,0.09409826993942261,0.06570149958133698,0.04847053438425064,0.03740360960364342,0.023824920877814293,0.01866830140352249,0.015995685011148453,6,8,11,17,34,9
11,90,0.3111451268196106,0.17214107513427734,0.10951666533946991,0.08418556302785873,0.057935893535614014,0.04477753862738609,0.03701408579945564,0.03092929720878601,0.024862544611096382,0.020430080592632294,7,9,11,18,34,9
0,90,0.3196136951446533,0.1875077188014984,0.1405704766511917,0.1191289946436882,0.08169747143983841,0.06809889525175095,0.04078219085931778,0.033937882632017136,0.0010632815537974238,0.0007623325218446553,5,6,6,7,8,10
1,90,0.3605164885520935,0.18310430645942688,0.13029921054840088,0.11908610910177231,0.07269087433815002,0.05761776491999626,0.03659103438258171,0.03040471114218235,0.0011916602961719036,0.0008558286353945732,5,5,6,7,8,10
2,90,0.3708830773830414,0.18791519105434418,0.12730950117111206,0.11222299933433533,0.06401124596595764,0.05157428979873657,0.033747125416994095,0.03132876381278038,0.002813712228089571,0.0023079351522028446,5,5,6,8,15,10
3,90,0.34668806195259094,0.1992989033460617,0.12618128955364227,0.11182527989149094,0.06364557147026062,0.05204208940267563,0.03343617916107178,0.030849969014525414,0.00529503496363759,0.0040799472481012344,5,6,7,8,22,10
4,90,0.326715886592865,0.20281748473644257,0.12822408974170685,0.11523355543613434,0.06301415711641312,0.05273383855819702,0.03450961410999298,0.0319550447165966,0.005960180424153805,0.0035274289548397064,5,6,7,8,26,10
5,90,0.31937849521636963,0.20588165521621704,0.127572700381279,0.11370941251516342,0.06320086121559143,0.05200069025158882,0.037887297570705414,0.029400797560811043,0.00590028939768672,0.004506588913500309,5,6,7,9,28,10
6,90,0.3179453909397125,0.20615769922733307,0.12728776037693024,0.11049311608076096,0.06314672529697418,0.049568068236112595,0.03945304453372955,0.028518592938780785,0.006139110773801804,0.004857309628278017,5,6,7,10,30,10
7,90,0.29861706495285034,0.21323224902153015,0.1318303644657135,0.10730897635221481,0.06316282600164413,0.04909003525972366,0.03885373845696449,0.02696971409022808,0.007395641412585974,0.005398862063884735,5,6,7,12,33,10
8,90,0.2716542184352875,0.22038693726062775,0.1278737485408783,0.10881556570529938,0.06287611275911331,0.05467220023274422,0.03924695402383804,0.0260333102196455,0.009832993149757385,0.007869862951338291,6,7,8,15,35,10
