layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
4,90,0.346838116645813,0.16257084906101227,0.15108652412891388,0.09560886770486832,0.076158806681633,0.053915392607450485,0.03325362130999565,0.02705598622560501,0.00818619504570961,0.0042299535125494,6,7,9,7
5,90,0.3696613013744354,0.1587977260351181,0.13560086488723755,0.09204815328121185,0.07232722640037537,0.05686631426215172,0.0287155918776989,0.025816528126597404,0.007531754672527313,0.005282165482640266,6,7,10,7
6,90,0.37471941113471985,0.1557675302028656,0.12640732526779175,0.09775551408529282,0.06275836378335953,0.05256417393684387,0.026404540985822678,0.02367851696908474,0.013327648863196373,0.008216643705964088,6,8,12,7
7,90,0.3219374120235443,0.17525514960289001,0.1300337314605713,0.09717239439487457,0.06723827123641968,0.05712393298745155,0.02737688086926937,0.026729552075266838,0.014283783733844757,0.011273269541561604,7,8,13,7
8,90,0.2894253730773926,0.18738944828510284,0.13801860809326172,0.0987689420580864,0.06457997858524323,0.05354620888829231,0.028177950531244278,0.022740399464964867,0.017830470576882362,0.017165930941700935,7,9,15,7
9,90,0.294260710477829,0.1694622039794922,0.13089953362941742,0.09564923495054245,0.066148541867733,0.05880984663963318,0.02734563872218132,0.02266300655901432,0.020942863076925278,0.019099654629826546,8,10,16,7
10,90,0.32414132356643677,0.15387827157974243,0.13582517206668854,0.07792755961418152,0.06713122874498367,0.04835472255945206,0.03557179495692253,0.02362574264407158,0.02150682918727398,0.017041468992829323,8,10,17,7
11,90,0.7463898062705994,0.06442340463399887,0.038358744233846664,0.02804587036371231,0.021629638969898224,0.019286157563328743,0.015133433043956757,0.01087960321456194,0.008803943172097206,0.007260859943926334,4,6,9,7
0,90,0.27757593989372253,0.2131301760673523,0.15529212355613708,0.12445005774497986,0.08281432092189789,0.060821015387773514,0.031661294400691986,0.027524340897798538,0.010261314921081066,0.0031520335469394922,5,6,8,8
1,90,0.2649099826812744,0.23734961450099945,0.1504746526479721,0.1124606505036354,0.07487194985151291,0.05670356750488281,0.029150167480111122,0.025659779086709023,0.01127732265740633,0.005033079534769058,6,7,8,8
2,90,0.3130483329296112,0.17447103559970856,0.1535569429397583,0.10801929235458374,0.07855311781167984,0.05494140461087227,0.031526025384664536,0.027479400858283043,0.011006585322320461,0.00583279225975275,6,7,9,8
3,90,0.367195188999176,0.14931988716125488,0.14233653247356415,0.0935114175081253,0.06719683110713959,0.04813579469919205,0.031455013900995255,0.02402305230498314,0.01779414899647236,0.009071402251720428,6,8,10,8
4,90,0.33927372097969055,0.15833188593387604,0.15052808821201324,0.0949508398771286,0.0741698369383812,0.05242422968149185,0.03246823325753212,0.02658936195075512,0.012112689204514027,0.006779458373785019,6,7,11,8
5,90,0.36383795738220215,0.15566858649253845,0.13665474951267242,0.08948372304439545,0.07101095467805862,0.05552714690566063,0.02792089805006981,0.025408519431948662,0.009519021026790142,0.007367982529103756,6,7,12,8
6,90,0.3703487813472748,0.15160509943962097,0.12892434000968933,0.09609540551900864,0.0626332014799118,0.052157558500766754,0.025066932663321495,0.02357202023267746,0.014016814529895782,0.009288336150348186,6,8,13,8
7,90,0.31431645154953003,0.17006120085716248,0.134834423661232,0.09780306369066238,0.06720529496669769,0.05661528930068016,0.027528787031769753,0.02556728757917881,0.012979206629097462,0.010968823917210102,7,9,15,8
8,90,0.2842341363430023,0.18340864777565002,0.14089635014533997,0.09995459020137787,0.06276094913482666,0.053586822003126144,0.02747415378689766,0.022258127108216286,0.01847275346517563,0.01641806773841381,7,10,15,8
9,90,0.28707262873649597,0.16979257762432098,0.14103873074054718,0.09427957981824875,0.06390929222106934,0.05151268467307091,0.028841061517596245,0.02396441623568535,0.02164616249501705,0.01667599566280842,8,11,16,8
10,90,0.3095492720603943,0.16202786564826965,0.13952703773975372,0.07713191956281662,0.0672653540968895,0.045759014785289764,0.034852221608161926,0.02399350516498089,0.021564429625868797,0.01611228473484516,8,11,16,8
11,90,0.7102583050727844,0.07458455115556717,0.0448702871799469,0.03004537709057331,0.023237237706780434,0.021166322752833366,0.019765596836805344,0.01160000916570425,0.009774838574230671,0.0075620729476213455,4,6,10,8
0,90,0.2731441259384155,0.2106982171535492,0.15520688891410828,0.12503117322921753,0.08340755850076675,0.060613516718149185,0.03159911185503006,0.027791569009423256,0.013790418393909931,0.00420625414699316,6,6,8,9
1,90,0.25673815608024597,0.23627112805843353,0.14785148203372955,0.11180026084184647,0.07521510124206543,0.056157004088163376,0.0290808267891407,0.02539135329425335,0.016180234029889107,0.006095996126532555,6,7,9,9
2,90,0.30285605788230896,0.17458419501781464,0.15101119875907898,0.10734658688306808,0.0780249834060669,0.053687918931245804,0.03114001266658306,0.027266789227724075,0.016019131988286972,0.00820683129131794,6,8,10,9
3,90,0.35395345091819763,0.14545677602291107,0.1417456567287445,0.09209437668323517,0.06731866300106049,0.04651465266942978,0.031043561175465584,0.02691255882382393,0.023434842005372047,0.00858935248106718,7,8,12,9
4,90,0.3268968164920807,0.1573670208454132,0.14905083179473877,0.09449437260627747,0.0748520940542221,0.05032000318169594,0.03214019164443016,0.0266630370169878,0.0173515472561121,0.0075603267177939415,6,8,13,9
